cycle: 108; nrPreys: 16; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 38; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 109; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 38; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 110; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 37; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 111; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.27999999999999936; maxEnergyPredators: 1.0
cycle: 112; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.25999999999999934; maxEnergyPredators: 1.0
cycle: 113; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.23999999999999935; maxEnergyPredators: 1.0
cycle: 114; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.21999999999999936; maxEnergyPredators: 1.0
cycle: 115; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.19999999999999937; maxEnergyPredators: 1.0
cycle: 116; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.17999999999999938; maxEnergyPredators: 1.0
cycle: 117; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.1599999999999994; maxEnergyPredators: 1.0
cycle: 118; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.1399999999999994; maxEnergyPredators: 1.0
cycle: 119; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.1199999999999994; maxEnergyPredators: 1.0
cycle: 120; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.0999999999999994; maxEnergyPredators: 1.0
cycle: 121; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.07999999999999939; maxEnergyPredators: 1.0
cycle: 122; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 123; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 124; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 36; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 125; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 35; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 126; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 35; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 127; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 34; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 128; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 34; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 129; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 35; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 130; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 34; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 131; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 34; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 132; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 33; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 133; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 33; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 134; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 32; minEnergyPredators: 0.07999999999999939; maxEnergyPredators: 1.0
cycle: 135; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 32; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 136; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 32; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 137; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 32; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 138; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 30; minEnergyPredators: 0.07999999999999939; maxEnergyPredators: 1.0
cycle: 139; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 30; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 140; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 30; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 141; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 30; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 142; nrPreys: 15; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 28; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 143; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.25999999999999934; maxEnergyPredators: 1.0
cycle: 144; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.23999999999999935; maxEnergyPredators: 1.0
cycle: 145; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.21999999999999936; maxEnergyPredators: 1.0
cycle: 146; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.19999999999999937; maxEnergyPredators: 1.0
cycle: 147; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.17999999999999938; maxEnergyPredators: 1.0
cycle: 148; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.1599999999999994; maxEnergyPredators: 1.0
cycle: 149; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.1399999999999994; maxEnergyPredators: 1.0
cycle: 150; nrPreys: 14; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.1199999999999994; maxEnergyPredators: 1.0
cycle: 151; nrPreys: 13; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.0999999999999994; maxEnergyPredators: 1.0
cycle: 152; nrPreys: 13; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 27; minEnergyPredators: 0.07999999999999939; maxEnergyPredators: 1.0
cycle: 153; nrPreys: 13; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 29; minEnergyPredators: 0.05999999999999939; maxEnergyPredators: 1.0
cycle: 154; nrPreys: 13; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 29; minEnergyPredators: 0.03999999999999938; maxEnergyPredators: 1.0
cycle: 155; nrPreys: 13; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 29; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
cycle: 156; nrPreys: 13; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 28; minEnergyPredators: 0.019999999999999383; maxEnergyPredators: 1.0
